stimType,stimID,thisRow.t,transparent,idiom,word,sentPos,readingTimes,questionCorrect,participantAnswer,trials.trialKey.rt,trials.trialKey.keys,trials.questionKey.rt,trials.questionKey.keys,trials.pauseKey.keys,trialKey.rt,trialKey.keys,questionKey.rt,questionKey.keys,practice.trialKey.rt,practice.trialKey.keys,practice.questionKey.rt,practice.questionKey.keys,pauseKey.keys,participant,notes,keyWelcome.rt,keyWelcome.keys,keyStart.rt,keyStart.keys,frameRate,expName,welcome.stopped,welcome.started,trials.trialKey.duration,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,trials.questionKey.duration,trialText.started,trialKey.started,trialKey.duration,trial.stopped,trial.started,thisTrialN,thisRepN,thisN,start.stopped,start.started,session,questionText.started,questionKey.started,questionKey.duration,question.stopped,question.started,psychopyVersion,practice.trialKey.duration,practice.thisTrialN,practice.thisRepN,practice.thisN,practice.thisIndex,practice.questionKey.duration,pause.stopped,pause.started,meaning_literal,meaning_idiomatic,meaning_distractor,keyWelcome.started,keyWelcome.duration,keyStart.started,keyStart.duration,fixation.stopped,fixation.started,fix.stopped,fix.started,feedback.stopped,feedback.started,fb.stopped,fb.started,expStart,date,
,,,,,,,,,,,,,,,,,,,,,,,,476587,,0.7769535999977961,space,,,59.83133550432233,metaphors,0.8160770999966189,0.013177199987694621,,,,,,,,,,,,,,,,,001,,,,,,2024.2.4,,,,,,,,,,,,0.024721599998883903,None,,,,,,,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
practice_e,b,0.8409951999783516,0,Tom heeft veel in zijn mars.,Tom,0,0.4683225000044331,,,,,,,,,,,,,,,,,476587,,,,,,59.83133550432233,metaphors,,,,,,,,,1.8403236999874935,1.8403236999874935,,,1.827773299999535,0,0,0,,,001,,,,,,2024.2.4,,0,0,0,1,,,,Tom kan heel ver wandelen.,Tom kan en weet veel dingen.,Tom praat veel.,,,,,,0.8409951999783516,1.8276507999980822,0.8282618999946862,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
practice_e,b,,0,Tom heeft veel in zijn mars.,heeft,1,0.3499484999338165,,,,,,,,,,,,,,,,,476587,,,,,,59.83133550432233,metaphors,,,,,,,,,,,,,,0,0,0,,,001,,,,,,2024.2.4,,0,0,0,1,,,,Tom kan heel ver wandelen.,Tom kan en weet veel dingen.,Tom praat veel.,,,,,,,,,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
practice_e,b,,0,Tom heeft veel in zijn mars.,veel,2,0.38226480002049357,,,,,,,,,,,,,,,,,476587,,,,,,59.83133550432233,metaphors,,,,,,,,,,,,,,0,0,0,,,001,,,,,,2024.2.4,,0,0,0,1,,,,Tom kan heel ver wandelen.,Tom kan en weet veel dingen.,Tom praat veel.,,,,,,,,,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
practice_e,b,,0,Tom heeft veel in zijn mars.,in,3,0.3999461999628693,,,,,,,,,,,,,,,,,476587,,,,,,59.83133550432233,metaphors,,,,,,,,,,,,,,0,0,0,,,001,,,,,,2024.2.4,,0,0,0,1,,,,Tom kan heel ver wandelen.,Tom kan en weet veel dingen.,Tom praat veel.,,,,,,,,,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
practice_e,b,,0,Tom heeft veel in zijn mars.,zijn,4,0.34938589995726943,,,,,,,,,,,,,,,,,476587,,,,,,59.83133550432233,metaphors,,,,,,,,,,,,,,0,0,0,,,001,,,,,,2024.2.4,,0,0,0,1,,,,Tom kan heel ver wandelen.,Tom kan en weet veel dingen.,Tom praat veel.,,,,,,,,,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
practice_e,b,,0,Tom heeft veel in zijn mars.,mars.,5,0.368241099989973,,,,,,,,,,,,,,,,,476587,,,,,,59.83133550432233,metaphors,,,,,,,,,,,,,,0,0,0,,,001,,,,,,2024.2.4,,0,0,0,1,,,,Tom kan heel ver wandelen.,Tom kan en weet veel dingen.,Tom praat veel.,,,,,,,,,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
practice_f,d,6.5410313999745995,0,Leon zit in de bus.,Leon,0,0.9340017000213265,1,idiomatic,,,,,,,,,,2.302818600088358,space,1.3353490999434143,b,,476587,,,,,,59.83133550432233,metaphors,,,,,,,,,7.540454600006342,7.540454600006342,,4.147651599952951,7.527617399930023,1,0,1,,,001,4.173222600016743,4.173222600016743,,5.514270299929194,4.164072099956684,2024.2.4,None,1,0,1,3,None,,,Leon is onderweg met de bus.,Leon is somber.,Leon wacht rustig af wat er gaat gebeuren.,,,,,,6.5410313999745995,7.527494299924001,6.527622999972664,6.527447499916889,5.518690299941227,,5.54067659995053,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
practice_f,d,,0,Leon zit in de bus.,zit,1,0.4175804000115022,,,,,,,,,,,,,,,,,476587,,,,,,59.83133550432233,metaphors,,,,,,,,,,,,,,1,0,1,,,001,,,,,,2024.2.4,,1,0,1,3,,,,Leon is onderweg met de bus.,Leon is somber.,Leon wacht rustig af wat er gaat gebeuren.,,,,,,,,,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
practice_f,d,,0,Leon zit in de bus.,in,2,0.4318072999594733,,,,,,,,,,,,,,,,,476587,,,,,,59.83133550432233,metaphors,,,,,,,,,,,,,,1,0,1,,,001,,,,,,2024.2.4,,1,0,1,3,,,,Leon is onderweg met de bus.,Leon is somber.,Leon wacht rustig af wat er gaat gebeuren.,,,,,,,,,,,,,2025-04-04 15h59.56.532836 +0200,2025-04-04_15h59.49.310,
